gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CR43334 lncRNA:CR43334 Gene Expression,1346.8639099960428,0.993434105465822,0.19569078150732108,5.076550350577736,3.843489816111373e-07,0.00011531750611606158,Cocaine_vs_Sucrose_Male,0.993434105465822,False
Dmel_CG13702 AstC-R2 Gene Expression,2796.4884508445616,0.8860167514226134,0.17476526133276662,5.069753248819676,3.983317891457441e-07,0.00011565756239034978,Cocaine_vs_Sucrose_Male,0.8860167514226134,False
Dmel_CG8556 Rac2 Gene Expression,536.5063195685592,1.329742215543249,0.2680062316478285,4.961609315452733,6.991150606362057e-07,0.00019664795814957773,Cocaine_vs_Sucrose_Male,1.329742215543249,True
Dmel_CG3936 N Gene Expression,457.1682784269028,1.111374836128547,0.22917793609660542,4.849397176087967,1.2383724219833291e-06,0.00033777545970521043,Cocaine_vs_Sucrose_Male,1.111374836128547,True
Dmel_CG8442 GluRIA Gene Expression,5764.195829278997,0.8850602500936955,0.18339669529544672,4.825933469890988,1.393490244125194e-06,0.00036890604962855507,Cocaine_vs_Sucrose_Male,0.8850602500936955,False
Dmel_CG1343 Sp1 Gene Expression,713.3321741394038,1.0696646338192288,0.22288820085811592,4.799108385733464,1.5937353420275093e-06,0.0004098631946739889,Cocaine_vs_Sucrose_Male,1.0696646338192288,True
Dmel_CG32577 disco-r Gene Expression,1229.4380286957294,0.9307560447226553,0.19447855227157312,4.785905869059184,1.7021782600864606e-06,0.00042559184775106196,Cocaine_vs_Sucrose_Male,0.9307560447226553,False
Dmel_CG6667 dl Gene Expression,208.67055486641473,1.5259042382266677,0.3198546357870835,4.770617860428357,1.8366168278332823e-06,0.000439704957505689,Cocaine_vs_Sucrose_Male,1.5259042382266677,True
Dmel_CG18023 Eip78C Gene Expression,2609.48810423177,0.8997411010713219,0.1888930274691751,4.76323087795365,1.9051764629176615e-06,0.000439704957505689,Cocaine_vs_Sucrose_Male,0.8997411010713219,False
Dmel_CG1529 CG1529 Gene Expression,114.27454832796292,-1.5768184085758763,0.330902770945106,-4.765201584961818,1.886649318321233e-06,0.000439704957505689,Cocaine_vs_Sucrose_Male,-1.5768184085758763,True
Dmel_CG18817 Tsp42Ea Gene Expression,521.1704653601889,-1.557147547107258,0.33041456702651967,-4.712708525899461,2.444457264231226e-06,0.0005500639958836317,Cocaine_vs_Sucrose_Male,-1.557147547107258,True
Dmel_CG13077 CG13077 Gene Expression,115.29240079640861,-2.4814315646341,0.5288517170716845,-4.692112145109568,2.7039882845073305e-06,0.0005890471798859094,Cocaine_vs_Sucrose_Male,-2.4814315646341,True
